deal_value,calls,emails,meetings,stage,industry,company_size,won
859.26,3,2,0,CONTACTED,FINANCE,SMALL,0
1030.1,17,17,3,NEGOCIATION,OTHER,SMALL,1
28916.66,4,14,1,NEW,EDUCATION,LARGE,0
1005.32,12,14,6,PROPOSITION,HEALTHCARE,SMALL,1
47994.61,5,0,0,CONTACTED,TECHNOLOGY,LARGE,0
1744.88,0,5,1,QUALIFIED,TECHNOLOGY,SMALL,0
5173.77,6,4,0,NEW,TECHNOLOGY,MEDIUM,0
4158.78,4,3,1,CONTACTED,OTHER,MEDIUM,0
2660.91,4,10,0,CONTACTED,HEALTHCARE,SMALL,0
2674.67,2,10,0,NEW,EDUCATION,SMALL,0
2137.79,3,12,0,CONTACTED,TECHNOLOGY,SMALL,0
6897.22,5,0,1,QUALIFIED,OTHER,MEDIUM,0
4327.5,0,0,1,QUALIFIED,OTHER,MEDIUM,0
6804.38,6,0,0,NEW,TECHNOLOGY,MEDIUM,0
1527.0,9,21,6,PROPOSITION,TECHNOLOGY,SMALL,1
1810.06,10,15,5,WON,TECHNOLOGY,SMALL,1
1576.05,10,21,1,PROPOSITION,FINANCE,SMALL,1
1438.55,5,7,0,NEW,HEALTHCARE,SMALL,0
3250.4,0,7,1,NEW,FINANCE,MEDIUM,0
30558.04,10,16,0,WON,TECHNOLOGY,LARGE,1
10789.88,0,0,0,CONTACTED,HEALTHCARE,MEDIUM,0
3247.21,3,3,0,NEW,TECHNOLOGY,SMALL,0
9139.9,4,16,3,WON,TECHNOLOGY,LARGE,1
10652.2,0,8,2,CONTACTED,FINANCE,MEDIUM,0
17628.8,6,0,0,NEW,FINANCE,LARGE,0
7047.58,1,13,0,CONTACTED,OTHER,MEDIUM,0
1149.28,0,16,0,NEW,TECHNOLOGY,SMALL,0
1941.06,4,7,0,CONTACTED,HEALTHCARE,SMALL,0
5932.7,0,13,0,LOST,HEALTHCARE,MEDIUM,0
860.66,3,0,1,NEW,TECHNOLOGY,SMALL,0
2450.71,6,10,1,LOST,HEALTHCARE,SMALL,0
11021.04,5,27,3,WON,TECHNOLOGY,MEDIUM,1
4425.82,3,5,0,NEW,TECHNOLOGY,MEDIUM,0
11115.56,0,0,0,LOST,OTHER,MEDIUM,0
1644.44,6,0,1,CONTACTED,OTHER,SMALL,0
2764.99,12,23,5,WON,OTHER,SMALL,1
1298.36,3,8,0,NEW,FINANCE,MEDIUM,0
119747.96,0,3,0,LOST,TECHNOLOGY,LARGE,0
12055.48,8,5,2,LOST,EDUCATION,MEDIUM,0
18047.49,4,4,0,NEW,FINANCE,LARGE,0
1505.3,6,12,5,NEGOCIATION,TECHNOLOGY,MEDIUM,1
